,distributed_link_id,persona_category,distributed_link_category,distributed_link_author,rec_category,rec_author,isTopCount_persona,prop_persona,isMajorityCount_persona,isFirst3Position_persona,isFirstPosition_persona,propSameAuthor,isTopCount_dst,prop_dst,isMajorityCount_dst,isFirst3Position_dst,isFirstPosition_dst
314,7349770550111423790,society,beauty,minibakerychannel,"['sports', 'beauty', 'other', 'other', 'other', 'other', 'other', 'society']","['danishjan525', 'ch.love56', 'rolando_lanazca_11', 'teresasalazarsala8', 'kamoletifli', 'userme4wr0ab9r', 'user2697876669499', 'callmebkbk']",False,0.125,False,False,False,0.0,False,0.125,False,True,False
315,7349770550111423790,sports,beauty,minibakerychannel,"['other', 'other', 'other', 'beauty', 'other', 'other', 'beauty', 'other']","['camfant', 'meghanandjack', 'onlyfamousbrian', 'olybre', 'pmdamiann', 'dangmattsmith', 'weuamiri', 'kimp0ssiblez']",False,0.0,False,False,False,0.0,False,0.25,False,False,False
316,7350330174883335466,beauty,society,briantylercohen,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
317,7350330174883335466,control,society,briantylercohen,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
318,7350330174883335466,society,society,briantylercohen,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
319,7350330174883335466,sports,society,briantylercohen,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False
320,7350367044488957214,beauty,,,"['other', 'other', None, None, None, None, None, None]","['user27862916711411', 'shadesofnate', None, None, None, None, None, None]",False,0.0,False,False,False,0.0,True,0.0,False,True,False
321,7350367044488957214,control,,,"['beauty', 'beauty', 'other', 'beauty', 'other', 'sports', 'other', 'other']","['luvvblancaa', 'mmadisonwest', 'bigmanschlatt', 'wearepursuit', 'angelina_clary', 'alexaaa_narvaez', 'princess_____samantha', '_javon.a.b']",False,0.0,False,False,False,0.0,False,0.0,False,False,False
322,7350367044488957214,society,,,"['other', 'other', 'other', 'other', 'other', 'society', 'other', 'other']","['barstoolsports', 'rah.ekk', 'courtneyyy1313', 'brooklynmckenzi_', 'roadrunner.tb', 'munratattooink', 'sumboutsummer', 'lacasadelosgritosve']",False,0.125,False,False,False,0.0,False,0.0,False,False,False
323,7350367044488957214,sports,,,"['other', 'other', 'other', 'beauty', 'other', 'other', None, 'other']","['sh1tposts.mp4', 'calebjwilber', 'nikkithestaffy_', 'hajimuhammad575', 'duolingo', 'xavier_jay22', None, 'hajimuhammad575']",False,0.0,False,False,False,0.0,False,0.0,False,False,False
324,7351058065128541470,beauty,beauty,_jessvu,"['beauty', 'beauty', 'other', 'beauty', 'other', 'other', 'other', 'other']","['sadelynmadelyn', 'sadelynmadelyn', 'imqlode', 'claudiaeatsgood', 'megaamerican', 'kang_templatecc', 'felinakkj', 'agnessjones2']",False,0.375,False,True,True,0.0,False,0.375,False,True,True
325,7351058065128541470,control,beauty,_jessvu,"['other', 'other', 'beauty', 'beauty', 'beauty', 'beauty', 'other', 'beauty']","['drivers_lesson', 'starswithfivestars', 'miahomecatfe', 'leighannk_', 'sadelynmadelyn', 'sadelynmadelyn', '_angelikarose', 'claudiaeatsgood']",False,0.0,False,False,False,0.0,True,0.625,True,True,False
